Receita,Origem,Ingredientes,Modo de Preparo,Categoria,Link da Receita
Frango Xadrez,China,"Frango, pimentões, cebola, molho shoyu, amido de milho, alho, gengibre, óleo de gergelim, sal","Refogar frango e vegetais, adicionar molho e amido, cozinhar até engrossar.",Salgado,Receita de Frango Xadrez
Yakisoba,Japão,"Macarrão para yakisoba, frango, carne bovina, cenoura, brócolis, couve-flor, molho shoyu, óleo de gergelim","Cozinhar macarrão, refogar carnes e vegetais, misturar tudo com o molho.",Salgado,Receita de Yakisoba
Sushi,Japão,"Arroz para sushi, peixe cru, alga nori, vinagre de arroz, açúcar, sal","Cozinhar arroz, temperar, enrolar com peixe e alga.",Salgado,Receita de Sushi
Bifum com Legumes,Japão,"Macarrão de arroz, cenoura, abobrinha, pimentão, molho shoyu, óleo de gergelim, gengibre, alho, sal","Cozinhar macarrão, refogar legumes, misturar tudo com molho.",Salgado,Receita de Bifum
Temaki,Japão,"Alga nori, arroz para sushi, peixe cru, pepino, abacate, molho shoyu, gengibre em conserva",Montar cones de alga com arroz e recheios de peixe e vegetais.,Salgado,Receita de Temaki
Bolinho de Arroz com Gergelim,Japão,"Arroz, farinha de trigo, gergelim, óleo para fritar, sal","Misturar arroz com farinha e gergelim, moldar bolinhos e fritar.",Salgado,Receita de Bolinho de Arroz
Harumaki (Rolinho Primavera),Japão,"Massa para harumaki, repolho, cenoura, broto de feijão, carne de porco, molho shoyu, óleo para fritar","Rechear massas com vegetais e carne, enrolar e fritar.",Salgado,Receita de Harumaki
Mochi,Japão,"Farinha de arroz, açúcar, água, amido de milho","Misturar ingredientes, cozinhar até formar uma massa, moldar bolinhos.",Doce,Receita de Mochi
Pudim de Chá Verde,Japão,"Leite, creme de leite, açúcar, chá verde, gelatina","Misturar ingredientes, cozinhar até engrossar, deixar gelar.",Doce,Receita de Pudim de Chá Verde
Tapioca com Frutas Tropicais,Asiatica-Brasileira,"Goma de tapioca, manga, abacaxi, kiwi, leite condensado","Preparar tapioca, rechear com frutas e leite condensado.",Doce,Receita de Tapioca
Som Tam,Tailândia,"Mamão verde ralado, tomate, cenoura, amendoim, camarão desidratado, feijão, açúcar, tamarindo, molho de peixe, limão, alho, pimenta",Macerar os condimentos e misturar com os demais ingredientes,Salgado,Link
Khao Soi,Tailândia,"Frango, carne bovina, suína ou vegetariana, curry, coco, ovo cozido, macarrão frito, folhas de mostarda, cebola, limão, pimenta",Cozinhar os ingredientes e adicionar pimenta moída frita no final,Salgado,Link
Pad Thai,Tailândia,"Macarrão frito, frango, camarão ou vegetariano, molho de peixe, tamarindo, açúcar, limão, alho, pimenta",Fritar o macarrão e adicionar os ingredientes,Salgado,Link
Nasi Padang,Indonésia,"Arroz, curry, diversos temperos, alho, limão, cebola, ervas, leite de coco",Servir arroz com variados acompanhamentos preparados a base de curry,Salgado,Link
Sate Padang,Indonésia,"Carne bovina, língua de boi, especiarias, cebola frita, panqueca de arroz","Marinar a carne, grelhar e servir com molho de amendoim e cebola frita",Salgado,Link
Bakso,Indonésia,"Carne moída, temperos, alho, cebola",Fazer almôndegas e cozinhar com os temperos,Salgado,Link
Khao Pad (Arroz Frito),Tailândia,"Arroz jasmim, molho de ostra, alho, cebola, legumes",Fritar o arroz com os ingredientes,Salgado,Link
Pho,Vietnã,"Macarrão de arroz, caldo de carne, gengibre, alho, cebola, molho de peixe, ervas frescas",Cozinhar o macarrão e servir com o caldo e as ervas frescas,Salgado,Link
Bulgogi,Coreia do Sul,"Carne de vaca, molho de soja, açúcar, alho, cebola, pimenta",Marinar a carne e grelhar,Salgado,Link
Kare Raisu (Curry Japonês),Japão,"Arroz, curry japonês, carne (geralmente porco ou frango), batata, cenoura, cebola, maçã","Cozinhar a carne com os vegetais e o curry, servir com arroz",Salgado,Link
